instance_id,matched_group_id,instance_index,family,difficulty,base_seed,realized_seed,relief_severity,detail_strength_m,size,cell_size,task_count,canonical_task_id,max_elevation,mean_point_slope_degrees,mean_footprint_slope_degrees,mean_roughness,blocked_by_slope_fraction,blocked_by_roughness_fraction,blocked_by_step_fraction,navigable_fraction,collision_boundary_density,connected_components,largest_component_fraction,largest_component_share,map_file,terrain_image_file,traversability_image_file
terrain_smooth_obstacles_004_medium,terrain_smooth_obstacles_004,4,smooth_obstacles,medium,37321,37321,1.33672,0.010642,128,0.25,10,terrain_smooth_obstacles_004_medium_sg10,9.1474,17.31,17.3029,0.0049,0.289062,0.0,0.0,0.649414,0.030327,4,0.634705,0.97735,maps/smooth_obstacles/terrain_smooth_obstacles_004_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_004_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_004_medium_analysis.png
terrain_smooth_obstacles_004_hard,terrain_smooth_obstacles_004,4,smooth_obstacles,hard,37321,37321,2.482263,0.034418,128,0.25,10,terrain_smooth_obstacles_004_hard_sg10,16.9865,26.3631,26.35,0.0092,0.41864,0.0,0.085327,0.519836,0.029958,5,0.515503,0.991664,maps/smooth_obstacles/terrain_smooth_obstacles_004_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_004_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_004_hard_analysis.png
terrain_smooth_obstacles_005_easy,terrain_smooth_obstacles_005,5,smooth_obstacles,easy,47328,47328,0.615309,0.001477,128,0.25,10,terrain_smooth_obstacles_005_easy_sg10,4.7216,8.693,8.692,0.0026,0.096802,0.0,0.0,0.841675,0.025098,2,0.827576,0.983249,maps/smooth_obstacles/terrain_smooth_obstacles_005_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_005_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_005_easy_analysis.png
terrain_smooth_obstacles_005_medium,terrain_smooth_obstacles_005,5,smooth_obstacles,medium,47328,47328,1.54733,0.014588,128,0.25,10,terrain_smooth_obstacles_005_medium_sg10,11.8774,17.9237,17.9213,0.0066,0.285828,0.0,0.011536,0.652649,0.029774,3,0.649109,0.994576,maps/smooth_obstacles/terrain_smooth_obstacles_005_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_005_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_005_medium_analysis.png
terrain_smooth_obstacles_005_hard,terrain_smooth_obstacles_005,5,smooth_obstacles,hard,47328,47328,3.54046,0.045,128,0.25,10,terrain_smooth_obstacles_005_hard_sg10,27.1809,28.5551,28.5493,0.0151,0.416504,0.004272,0.240295,0.521484,0.029528,3,0.520264,0.997659,maps/smooth_obstacles/terrain_smooth_obstacles_005_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_005_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_005_hard_analysis.png
terrain_smooth_obstacles_006_easy,terrain_smooth_obstacles_006,6,smooth_obstacles,easy,57335,57335,0.684719,0.001643,128,0.25,10,terrain_smooth_obstacles_006_easy_sg10,4.6024,9.9891,9.9833,0.0028,0.090393,0.0,0.0,0.848083,0.026329,1,0.848083,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_006_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_006_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_006_easy_analysis.png
terrain_smooth_obstacles_006_medium,terrain_smooth_obstacles_006,6,smooth_obstacles,medium,57335,57335,1.33672,0.010642,128,0.25,10,terrain_smooth_obstacles_006_medium_sg10,8.9741,17.3549,17.3439,0.0054,0.289062,0.0,0.005615,0.649414,0.030512,2,0.637024,0.980921,maps/smooth_obstacles/terrain_smooth_obstacles_006_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_006_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_006_medium_analysis.png
terrain_smooth_obstacles_006_hard,terrain_smooth_obstacles_006,6,smooth_obstacles,hard,57335,57335,2.482263,0.034418,128,0.25,10,terrain_smooth_obstacles_006_hard_sg10,16.6632,26.1159,26.0958,0.0101,0.416565,0.000488,0.096985,0.521912,0.030389,4,0.515442,0.987604,maps/smooth_obstacles/terrain_smooth_obstacles_006_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_006_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_006_hard_analysis.png
terrain_smooth_obstacles_007_easy,terrain_smooth_obstacles_007,7,smooth_obstacles,easy,67342,67342,0.615309,0.001477,128,0.25,10,terrain_smooth_obstacles_007_easy_sg10,4.7208,8.9193,8.9172,0.0027,0.097168,0.0,0.0,0.841309,0.023745,1,0.841309,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_007_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_007_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_007_easy_analysis.png
terrain_smooth_obstacles_007_medium,terrain_smooth_obstacles_007,7,smooth_obstacles,medium,67342,67342,1.473676,0.01318,128,0.25,10,terrain_smooth_obstacles_007_medium_sg10,11.2942,17.7332,17.7285,0.0065,0.290771,0.0,0.0,0.647705,0.029651,4,0.642883,0.992556,maps/smooth_obstacles/terrain_smooth_obstacles_007_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_007_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_007_medium_analysis.png
terrain_smooth_obstacles_007_hard,terrain_smooth_obstacles_007,7,smooth_obstacles,hard,67342,67342,3.54046,0.045,128,0.25,10,terrain_smooth_obstacles_007_hard_sg10,27.117,28.9995,28.9885,0.0158,0.418457,0.002441,0.256653,0.519958,0.029835,4,0.517822,0.995892,maps/smooth_obstacles/terrain_smooth_obstacles_007_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_007_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_007_hard_analysis.png
terrain_smooth_obstacles_008_easy,terrain_smooth_obstacles_008,8,smooth_obstacles,easy,77349,77349,0.684719,0.001643,128,0.25,10,terrain_smooth_obstacles_008_easy_sg10,4.5613,9.8683,9.8589,0.0027,0.102112,0.0,0.0,0.836365,0.02596,2,0.796387,0.9522,maps/smooth_obstacles/terrain_smooth_obstacles_008_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_008_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_008_easy_analysis.png
terrain_smooth_obstacles_008_medium,terrain_smooth_obstacles_008,8,smooth_obstacles,medium,77349,77349,1.33672,0.010642,128,0.25,10,terrain_smooth_obstacles_008_medium_sg10,8.9077,17.1666,17.1486,0.0053,0.288879,0.0,0.0,0.649597,0.032419,3,0.631714,0.97247,maps/smooth_obstacles/terrain_smooth_obstacles_008_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_008_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_008_medium_analysis.png
terrain_smooth_obstacles_008_hard,terrain_smooth_obstacles_008,8,smooth_obstacles,hard,77349,77349,2.611428,0.037383,128,0.25,10,terrain_smooth_obstacles_008_hard_sg10,17.4087,26.5862,26.5523,0.0105,0.422363,0.0,0.139709,0.516113,0.03328,4,0.511169,0.990421,maps/smooth_obstacles/terrain_smooth_obstacles_008_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_008_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_008_hard_analysis.png
terrain_smooth_obstacles_009_easy,terrain_smooth_obstacles_009,9,smooth_obstacles,easy,87356,87356,0.552935,0.001327,128,0.25,10,terrain_smooth_obstacles_009_easy_sg10,4.8295,9.4682,9.4591,0.0025,0.101501,0.0,0.0,0.836975,0.026144,1,0.836975,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_009_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_009_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_009_easy_analysis.png
terrain_smooth_obstacles_009_medium,terrain_smooth_obstacles_009,9,smooth_obstacles,medium,87356,87356,1.154776,0.007463,128,0.25,10,terrain_smooth_obstacles_009_medium_sg10,10.0857,17.1821,17.1639,0.0052,0.29071,0.0,0.0,0.647766,0.028297,3,0.639038,0.986526,maps/smooth_obstacles/terrain_smooth_obstacles_009_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_009_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_009_medium_analysis.png
terrain_smooth_obstacles_009_hard,terrain_smooth_obstacles_009,9,smooth_obstacles,hard,87356,87356,2.611428,0.037383,128,0.25,10,terrain_smooth_obstacles_009_hard_sg10,22.8131,28.0974,28.0607,0.0119,0.418701,0.0,0.218994,0.521362,0.026083,3,0.519409,0.996254,maps/smooth_obstacles/terrain_smooth_obstacles_009_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_009_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_009_hard_analysis.png
terrain_smooth_obstacles_010_easy,terrain_smooth_obstacles_010,10,smooth_obstacles,easy,97363,97363,0.649087,0.001558,128,0.25,10,terrain_smooth_obstacles_010_easy_sg10,4.9055,9.1414,9.1367,0.0024,0.101685,0.0,0.0,0.836792,0.025098,1,0.836792,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_010_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_010_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_010_easy_analysis.png
terrain_smooth_obstacles_010_medium,terrain_smooth_obstacles_010,10,smooth_obstacles,medium,97363,97363,1.403529,0.011866,128,0.25,10,terrain_smooth_obstacles_010_medium_sg10,10.6072,16.9155,16.9059,0.0053,0.285767,0.0,0.0,0.65271,0.026698,3,0.649414,0.99495,maps/smooth_obstacles/terrain_smooth_obstacles_010_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_010_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_010_medium_analysis.png
terrain_smooth_obstacles_010_hard,terrain_smooth_obstacles_010,10,smooth_obstacles,hard,97363,97363,3.54046,0.045,128,0.25,10,terrain_smooth_obstacles_010_hard_sg10,26.757,28.7625,28.7397,0.0134,0.415955,0.0,0.251831,0.522522,0.026821,2,0.522034,0.999066,maps/smooth_obstacles/terrain_smooth_obstacles_010_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_010_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_010_hard_analysis.png
terrain_smooth_obstacles_011_easy,terrain_smooth_obstacles_011,11,smooth_obstacles,easy,107370,107370,0.649087,0.001558,128,0.25,10,terrain_smooth_obstacles_011_easy_sg10,4.8348,9.6425,9.6391,0.0026,0.095886,0.0,0.0,0.84259,0.02436,1,0.84259,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_011_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_011_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_011_easy_analysis.png
terrain_smooth_obstacles_011_medium,terrain_smooth_obstacles_011,11,smooth_obstacles,medium,107370,107370,1.403529,0.011866,128,0.25,10,terrain_smooth_obstacles_011_medium_sg10,10.4544,18.0394,18.032,0.0056,0.289978,0.0,0.0,0.648499,0.030696,2,0.644775,0.994259,maps/smooth_obstacles/terrain_smooth_obstacles_011_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_011_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_011_medium_analysis.png
terrain_smooth_obstacles_011_hard,terrain_smooth_obstacles_011,11,smooth_obstacles,hard,107370,107370,2.747314,0.04055,128,0.25,10,terrain_smooth_obstacles_011_hard_sg10,20.4638,27.5383,27.5236,0.011,0.417053,0.0,0.177551,0.521423,0.029897,5,0.517334,0.992157,maps/smooth_obstacles/terrain_smooth_obstacles_011_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_011_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_011_hard_analysis.png
terrain_smooth_obstacles_012_easy,terrain_smooth_obstacles_012,12,smooth_obstacles,easy,117377,117377,0.722307,0.001734,128,0.25,10,terrain_smooth_obstacles_012_easy_sg10,4.9235,10.2065,10.1992,0.0029,0.102844,0.0,0.0,0.835632,0.02436,1,0.835632,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_012_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_012_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_012_easy_analysis.png
terrain_smooth_obstacles_012_medium,terrain_smooth_obstacles_012,12,smooth_obstacles,medium,117377,117377,1.403529,0.011866,128,0.25,10,terrain_smooth_obstacles_012_medium_sg10,9.5694,17.5879,17.5736,0.0057,0.291565,0.0,0.0,0.646912,0.032357,3,0.640442,0.989999,maps/smooth_obstacles/terrain_smooth_obstacles_012_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_012_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_012_medium_analysis.png
terrain_smooth_obstacles_012_hard,terrain_smooth_obstacles_012,12,smooth_obstacles,hard,117377,117377,2.611428,0.037383,128,0.25,10,terrain_smooth_obstacles_012_hard_sg10,17.8094,26.4174,26.3907,0.0106,0.422546,0.0,0.1203,0.51593,0.033649,5,0.510559,0.989589,maps/smooth_obstacles/terrain_smooth_obstacles_012_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_012_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_012_hard_analysis.png
terrain_smooth_obstacles_013_easy,terrain_smooth_obstacles_013,13,smooth_obstacles,easy,127384,127384,0.722307,0.001734,128,0.25,10,terrain_smooth_obstacles_013_easy_sg10,4.6865,9.1525,9.1506,0.0028,0.09491,0.0,0.0,0.843567,0.023991,1,0.843567,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_013_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_013_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_013_easy_analysis.png
terrain_smooth_obstacles_013_medium,terrain_smooth_obstacles_013,13,smooth_obstacles,medium,127384,127384,1.624666,0.016096,128,0.25,10,terrain_smooth_obstacles_013_medium_sg10,10.5412,17.5462,17.5425,0.0064,0.286011,0.0,0.0,0.652466,0.032111,4,0.646301,0.990552,maps/smooth_obstacles/terrain_smooth_obstacles_013_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_013_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_013_medium_analysis.png
terrain_smooth_obstacles_013_hard,terrain_smooth_obstacles_013,13,smooth_obstacles,hard,127384,127384,3.54046,0.045,128,0.25,10,terrain_smooth_obstacles_013_hard_sg10,22.9712,27.9879,27.9806,0.014,0.418762,0.0,0.203918,0.519714,0.030696,6,0.516174,0.993188,maps/smooth_obstacles/terrain_smooth_obstacles_013_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_013_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_013_hard_analysis.png
terrain_smooth_obstacles_014_easy,terrain_smooth_obstacles_014,14,smooth_obstacles,easy,137391,137391,0.615309,0.001477,128,0.25,10,terrain_smooth_obstacles_014_easy_sg10,4.8263,10.1108,10.1046,0.0024,0.102966,0.0,0.0,0.83551,0.026144,1,0.83551,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_014_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_014_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_014_easy_analysis.png
terrain_smooth_obstacles_014_medium,terrain_smooth_obstacles_014,14,smooth_obstacles,medium,137391,137391,1.099808,0.006554,128,0.25,10,terrain_smooth_obstacles_014_medium_sg10,8.6275,16.3589,16.3479,0.0043,0.284912,0.0,0.0,0.653564,0.028051,3,0.641663,0.981789,maps/smooth_obstacles/terrain_smooth_obstacles_014_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_014_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_014_medium_analysis.png
terrain_smooth_obstacles_014_hard,terrain_smooth_obstacles_014,14,smooth_obstacles,hard,137391,137391,2.359487,0.031644,128,0.25,10,terrain_smooth_obstacles_014_hard_sg10,18.5183,26.8577,26.834,0.0093,0.418335,0.0,0.152222,0.520142,0.027928,2,0.51825,0.996362,maps/smooth_obstacles/terrain_smooth_obstacles_014_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_014_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_014_hard_analysis.png
terrain_smooth_obstacles_015_easy,terrain_smooth_obstacles_015,15,smooth_obstacles,easy,147398,147398,0.583289,0.0014,128,0.25,10,terrain_smooth_obstacles_015_easy_sg10,4.2744,9.3449,9.3383,0.0026,0.087402,0.0,0.0,0.851074,0.02596,1,0.851074,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_015_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_015_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_015_easy_analysis.png
terrain_smooth_obstacles_015_medium,terrain_smooth_obstacles_015,15,smooth_obstacles,medium,147398,147398,1.212491,0.008445,128,0.25,10,terrain_smooth_obstacles_015_medium_sg10,8.8816,17.1087,17.0951,0.0055,0.286194,0.0,0.0,0.652283,0.033157,2,0.642273,0.984654,maps/smooth_obstacles/terrain_smooth_obstacles_015_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_015_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_015_medium_analysis.png
terrain_smooth_obstacles_015_hard,terrain_smooth_obstacles_015,15,smooth_obstacles,hard,147398,147398,2.359487,0.031644,128,0.25,10,terrain_smooth_obstacles_015_hard_sg10,17.2793,26.2948,26.2691,0.0107,0.414368,0.0,0.156372,0.524109,0.032972,5,0.517944,0.988238,maps/smooth_obstacles/terrain_smooth_obstacles_015_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_015_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_015_hard_analysis.png
terrain_smooth_obstacles_016_easy,terrain_smooth_obstacles_016,16,smooth_obstacles,easy,157405,157405,0.615309,0.001477,128,0.25,10,terrain_smooth_obstacles_016_easy_sg10,4.8165,9.4119,9.4068,0.0027,0.095825,0.0,0.0,0.842651,0.025714,1,0.842651,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_016_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_016_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_016_easy_analysis.png
terrain_smooth_obstacles_016_medium,terrain_smooth_obstacles_016,16,smooth_obstacles,medium,157405,157405,1.33672,0.010642,128,0.25,10,terrain_smooth_obstacles_016_medium_sg10,10.4633,17.6008,17.5903,0.0058,0.289551,0.0,0.0,0.648926,0.030204,3,0.643555,0.991723,maps/smooth_obstacles/terrain_smooth_obstacles_016_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_016_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_016_medium_analysis.png
terrain_smooth_obstacles_016_hard,terrain_smooth_obstacles_016,16,smooth_obstacles,hard,157405,157405,2.747314,0.04055,128,0.25,10,terrain_smooth_obstacles_016_hard_sg10,21.504,27.3855,27.3651,0.0121,0.41687,0.0,0.188843,0.521606,0.029405,5,0.518188,0.993447,maps/smooth_obstacles/terrain_smooth_obstacles_016_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_016_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_016_hard_analysis.png
terrain_smooth_obstacles_017_easy,terrain_smooth_obstacles_017,17,smooth_obstacles,easy,167412,167412,0.684719,0.001643,128,0.25,10,terrain_smooth_obstacles_017_easy_sg10,4.6802,8.9442,8.9428,0.0027,0.102478,0.0,0.0,0.835999,0.026759,1,0.835999,1.0,maps/smooth_obstacles/terrain_smooth_obstacles_017_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_017_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_017_easy_analysis.png
terrain_smooth_obstacles_017_medium,terrain_smooth_obstacles_017,17,smooth_obstacles,medium,167412,167412,1.624666,0.016096,128,0.25,10,terrain_smooth_obstacles_017_medium_sg10,11.1049,17.6177,17.6153,0.0063,0.287659,0.0,0.0,0.650818,0.027375,3,0.645691,0.992122,maps/smooth_obstacles/terrain_smooth_obstacles_017_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_017_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_017_medium_analysis.png
terrain_smooth_obstacles_017_hard,terrain_smooth_obstacles_017,17,smooth_obstacles,hard,167412,167412,4.336913,0.045,128,0.25,10,terrain_smooth_obstacles_017_hard_sg10,29.6435,30.1563,30.1509,0.0169,0.418335,0.006531,0.270935,0.52002,0.027498,3,0.519531,0.999061,maps/smooth_obstacles/terrain_smooth_obstacles_017_hard.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_017_hard.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_017_hard_analysis.png
terrain_smooth_obstacles_018_easy,terrain_smooth_obstacles_018,18,smooth_obstacles,easy,177419,177419,0.649087,0.001558,128,0.25,10,terrain_smooth_obstacles_018_easy_sg10,4.6735,9.47,9.4674,0.0028,0.105103,0.0,0.0,0.833374,0.025837,2,0.801086,0.961257,maps/smooth_obstacles/terrain_smooth_obstacles_018_easy.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_018_easy.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_018_easy_analysis.png
terrain_smooth_obstacles_018_medium,terrain_smooth_obstacles_018,18,smooth_obstacles,medium,177419,177419,1.403529,0.011866,128,0.25,10,terrain_smooth_obstacles_018_medium_sg10,10.1048,17.666,17.6607,0.006,0.291931,0.0,0.0,0.646545,0.032296,2,0.641968,0.99292,maps/smooth_obstacles/terrain_smooth_obstacles_018_medium.json,images/terrain/smooth_obstacles/terrain_smooth_obstacles_018_medium.png,images/analysis/smooth_obstacles/terrain_smooth_obstacles_018_medium_analysis.png
