matched_group_id,family,instance_index,matched_task_id,task_index,start_x,start_y,goal_x,goal_y,distance_class,reference_weighted_distance,reference_distance_difficulty,canonical_visualization
terrain_smooth_obstacles_008,smooth_obstacles,8,terrain_smooth_obstacles_008_sg01,1,44,6,50,40,short,9.7772,hard,False
terrain_smooth_obstacles_008,smooth_obstacles,8,terrain_smooth_obstacles_008_sg02,2,81,8,103,45,short,11.5904,hard,False
terrain_smooth_obstacles_008,smooth_obstacles,8,terrain_smooth_obstacles_008_sg03,3,77,7,100,51,short,13.5846,hard,False
terrain_smooth_obstacles_008,smooth_obstacles,8,terrain_smooth_obstacles_008_sg04,4,84,42,115,102,medium,18.3011,hard,False
terrain_smooth_obstacles_008,smooth_obstacles,8,terrain_smooth_obstacles_008_sg05,5,9,96,42,40,medium,19.9651,hard,False
terrain_smooth_obstacles_008,smooth_obstacles,8,terrain_smooth_obstacles_008_sg06,6,97,116,105,34,medium,21.5821,hard,False
terrain_smooth_obstacles_008,smooth_obstacles,8,terrain_smooth_obstacles_008_sg07,7,73,39,116,108,medium,23.2495,hard,False
terrain_smooth_obstacles_008,smooth_obstacles,8,terrain_smooth_obstacles_008_sg08,8,10,9,104,54,long,28.9437,hard,False
terrain_smooth_obstacles_008,smooth_obstacles,8,terrain_smooth_obstacles_008_sg09,9,49,36,82,114,long,31.9216,hard,False
terrain_smooth_obstacles_008,smooth_obstacles,8,terrain_smooth_obstacles_008_sg10,10,28,41,93,113,long,35.2545,hard,True
terrain_smooth_obstacles_009,smooth_obstacles,9,terrain_smooth_obstacles_009_sg01,1,27,82,39,115,short,9.8019,hard,False
terrain_smooth_obstacles_009,smooth_obstacles,9,terrain_smooth_obstacles_009_sg02,2,10,52,12,97,short,11.6261,hard,False
terrain_smooth_obstacles_009,smooth_obstacles,9,terrain_smooth_obstacles_009_sg03,3,13,78,43,119,short,13.7242,hard,False
terrain_smooth_obstacles_009,smooth_obstacles,9,terrain_smooth_obstacles_009_sg04,4,31,86,63,24,medium,19.2219,hard,False
terrain_smooth_obstacles_009,smooth_obstacles,9,terrain_smooth_obstacles_009_sg05,5,14,93,39,18,medium,21.4273,hard,False
terrain_smooth_obstacles_009,smooth_obstacles,9,terrain_smooth_obstacles_009_sg06,6,25,116,43,29,medium,23.7534,hard,False
terrain_smooth_obstacles_009,smooth_obstacles,9,terrain_smooth_obstacles_009_sg07,7,25,76,96,15,medium,26.0576,hard,False
terrain_smooth_obstacles_009,smooth_obstacles,9,terrain_smooth_obstacles_009_sg08,8,63,21,118,111,long,35.1469,hard,False
terrain_smooth_obstacles_009,smooth_obstacles,9,terrain_smooth_obstacles_009_sg09,9,21,17,115,92,long,41.1734,hard,False
terrain_smooth_obstacles_009,smooth_obstacles,9,terrain_smooth_obstacles_009_sg10,10,16,76,115,92,long,48.7501,hard,True
terrain_smooth_obstacles_010,smooth_obstacles,10,terrain_smooth_obstacles_010_sg01,1,10,118,55,114,short,11.729,hard,False
terrain_smooth_obstacles_010,smooth_obstacles,10,terrain_smooth_obstacles_010_sg02,2,103,96,114,42,short,14.7341,hard,False
terrain_smooth_obstacles_010,smooth_obstacles,10,terrain_smooth_obstacles_010_sg03,3,7,85,66,111,short,17.6011,hard,False
terrain_smooth_obstacles_010,smooth_obstacles,10,terrain_smooth_obstacles_010_sg04,4,93,15,100,103,medium,23.7618,hard,False
terrain_smooth_obstacles_010,smooth_obstacles,10,terrain_smooth_obstacles_010_sg05,5,110,16,119,116,medium,26.0935,hard,False
terrain_smooth_obstacles_010,smooth_obstacles,10,terrain_smooth_obstacles_010_sg06,6,8,108,118,101,medium,28.4993,hard,False
terrain_smooth_obstacles_010,smooth_obstacles,10,terrain_smooth_obstacles_010_sg07,7,43,10,111,83,medium,31.2331,hard,False
terrain_smooth_obstacles_010,smooth_obstacles,10,terrain_smooth_obstacles_010_sg08,8,31,101,78,14,long,40.9121,hard,False
terrain_smooth_obstacles_010,smooth_obstacles,10,terrain_smooth_obstacles_010_sg09,9,20,28,119,105,long,45.2866,hard,False
terrain_smooth_obstacles_010,smooth_obstacles,10,terrain_smooth_obstacles_010_sg10,10,22,117,51,12,long,52.3357,hard,True
terrain_smooth_obstacles_011,smooth_obstacles,11,terrain_smooth_obstacles_011_sg01,1,78,20,114,39,short,11.0492,hard,False
terrain_smooth_obstacles_011,smooth_obstacles,11,terrain_smooth_obstacles_011_sg02,2,8,8,61,7,short,13.4323,hard,False
terrain_smooth_obstacles_011,smooth_obstacles,11,terrain_smooth_obstacles_011_sg03,3,66,13,118,39,short,15.8096,hard,False
terrain_smooth_obstacles_011,smooth_obstacles,11,terrain_smooth_obstacles_011_sg04,4,59,24,108,79,medium,22.1269,hard,False
terrain_smooth_obstacles_011,smooth_obstacles,11,terrain_smooth_obstacles_011_sg05,5,14,94,99,113,medium,24.5526,hard,False
terrain_smooth_obstacles_011,smooth_obstacles,11,terrain_smooth_obstacles_011_sg06,6,83,14,114,108,medium,26.8923,hard,False
terrain_smooth_obstacles_011,smooth_obstacles,11,terrain_smooth_obstacles_011_sg07,7,62,24,119,106,medium,29.2081,hard,False
terrain_smooth_obstacles_011,smooth_obstacles,11,terrain_smooth_obstacles_011_sg08,8,10,69,105,8,long,36.3558,hard,False
terrain_smooth_obstacles_011,smooth_obstacles,11,terrain_smooth_obstacles_011_sg09,9,27,116,61,7,long,39.1841,hard,False
terrain_smooth_obstacles_011,smooth_obstacles,11,terrain_smooth_obstacles_011_sg10,10,37,110,72,20,long,41.6823,hard,True
terrain_smooth_obstacles_012,smooth_obstacles,12,terrain_smooth_obstacles_012_sg01,1,106,21,115,61,short,11.0404,hard,False
terrain_smooth_obstacles_012,smooth_obstacles,12,terrain_smooth_obstacles_012_sg02,2,34,11,85,9,short,13.0827,hard,False
terrain_smooth_obstacles_012,smooth_obstacles,12,terrain_smooth_obstacles_012_sg03,3,7,68,16,11,short,15.2465,hard,False
terrain_smooth_obstacles_012,smooth_obstacles,12,terrain_smooth_obstacles_012_sg04,4,10,27,20,107,medium,21.063,hard,False
terrain_smooth_obstacles_012,smooth_obstacles,12,terrain_smooth_obstacles_012_sg05,5,61,8,115,61,medium,23.4223,hard,False
terrain_smooth_obstacles_012,smooth_obstacles,12,terrain_smooth_obstacles_012_sg06,6,27,44,112,16,medium,25.8576,hard,False
terrain_smooth_obstacles_012,smooth_obstacles,12,terrain_smooth_obstacles_012_sg07,7,26,111,117,97,medium,28.1033,hard,False
terrain_smooth_obstacles_012,smooth_obstacles,12,terrain_smooth_obstacles_012_sg08,8,10,117,76,26,long,34.2289,hard,False
terrain_smooth_obstacles_012,smooth_obstacles,12,terrain_smooth_obstacles_012_sg09,9,27,48,115,119,long,37.2523,hard,False
terrain_smooth_obstacles_012,smooth_obstacles,12,terrain_smooth_obstacles_012_sg10,10,26,109,109,11,long,40.3435,hard,True
terrain_smooth_obstacles_013,smooth_obstacles,13,terrain_smooth_obstacles_013_sg01,1,11,6,45,21,short,10.9587,hard,False
terrain_smooth_obstacles_013,smooth_obstacles,13,terrain_smooth_obstacles_013_sg02,2,12,24,46,19,short,13.3071,hard,False
terrain_smooth_obstacles_013,smooth_obstacles,13,terrain_smooth_obstacles_013_sg03,3,61,98,114,77,short,15.7198,hard,False
terrain_smooth_obstacles_013,smooth_obstacles,13,terrain_smooth_obstacles_013_sg04,4,28,96,107,85,medium,21.8387,hard,False
terrain_smooth_obstacles_013,smooth_obstacles,13,terrain_smooth_obstacles_013_sg05,5,7,27,10,117,medium,24.2495,hard,False
terrain_smooth_obstacles_013,smooth_obstacles,13,terrain_smooth_obstacles_013_sg06,6,69,103,120,24,medium,26.6802,hard,False
terrain_smooth_obstacles_013,smooth_obstacles,13,terrain_smooth_obstacles_013_sg07,7,54,10,114,77,medium,29.2303,hard,False
terrain_smooth_obstacles_013,smooth_obstacles,13,terrain_smooth_obstacles_013_sg08,8,12,39,96,105,long,36.9922,hard,False
terrain_smooth_obstacles_013,smooth_obstacles,13,terrain_smooth_obstacles_013_sg09,9,64,14,90,121,long,39.6523,hard,False
terrain_smooth_obstacles_013,smooth_obstacles,13,terrain_smooth_obstacles_013_sg10,10,26,96,78,8,long,42.1899,hard,True
terrain_smooth_obstacles_014,smooth_obstacles,14,terrain_smooth_obstacles_014_sg01,1,18,104,19,61,short,10.9416,hard,False
terrain_smooth_obstacles_014,smooth_obstacles,14,terrain_smooth_obstacles_014_sg02,2,11,85,51,118,short,13.4289,hard,False
terrain_smooth_obstacles_014,smooth_obstacles,14,terrain_smooth_obstacles_014_sg03,3,49,103,106,116,short,15.9118,hard,False
terrain_smooth_obstacles_014,smooth_obstacles,14,terrain_smooth_obstacles_014_sg04,4,26,36,97,19,medium,21.7851,hard,False
terrain_smooth_obstacles_014,smooth_obstacles,14,terrain_smooth_obstacles_014_sg05,5,20,38,59,111,medium,23.7386,hard,False
terrain_smooth_obstacles_014,smooth_obstacles,14,terrain_smooth_obstacles_014_sg06,6,109,111,117,20,medium,25.5935,hard,False
terrain_smooth_obstacles_014,smooth_obstacles,14,terrain_smooth_obstacles_014_sg07,7,13,55,85,117,medium,27.4885,hard,False
terrain_smooth_obstacles_014,smooth_obstacles,14,terrain_smooth_obstacles_014_sg08,8,16,79,103,8,long,33.9753,hard,False
terrain_smooth_obstacles_014,smooth_obstacles,14,terrain_smooth_obstacles_014_sg09,9,9,7,75,118,long,37.4689,hard,False
terrain_smooth_obstacles_014,smooth_obstacles,14,terrain_smooth_obstacles_014_sg10,10,6,101,103,8,long,40.5436,hard,True
terrain_smooth_obstacles_015,smooth_obstacles,15,terrain_smooth_obstacles_015_sg01,1,79,16,112,46,short,11.4645,hard,False
terrain_smooth_obstacles_015,smooth_obstacles,15,terrain_smooth_obstacles_015_sg02,2,97,112,116,68,short,13.6475,hard,False
terrain_smooth_obstacles_015,smooth_obstacles,15,terrain_smooth_obstacles_015_sg03,3,59,30,95,49,short,15.9538,hard,False
terrain_smooth_obstacles_015,smooth_obstacles,15,terrain_smooth_obstacles_015_sg04,4,50,29,111,59,medium,22.2975,hard,False
terrain_smooth_obstacles_015,smooth_obstacles,15,terrain_smooth_obstacles_015_sg05,5,115,120,117,21,medium,25.2113,hard,False
terrain_smooth_obstacles_015,smooth_obstacles,15,terrain_smooth_obstacles_015_sg06,6,9,120,23,16,medium,28.0308,hard,False
terrain_smooth_obstacles_015,smooth_obstacles,15,terrain_smooth_obstacles_015_sg07,7,15,40,119,14,medium,30.8846,hard,False
terrain_smooth_obstacles_015,smooth_obstacles,15,terrain_smooth_obstacles_015_sg08,8,13,47,112,79,long,41.185,hard,False
terrain_smooth_obstacles_015,smooth_obstacles,15,terrain_smooth_obstacles_015_sg09,9,23,121,99,12,long,46.9419,hard,False
terrain_smooth_obstacles_015,smooth_obstacles,15,terrain_smooth_obstacles_015_sg10,10,10,54,105,119,long,52.8496,hard,True
terrain_smooth_obstacles_016,smooth_obstacles,16,terrain_smooth_obstacles_016_sg01,1,28,64,39,26,short,10.7761,hard,False
terrain_smooth_obstacles_016,smooth_obstacles,16,terrain_smooth_obstacles_016_sg02,2,9,54,46,17,short,13.2446,hard,False
terrain_smooth_obstacles_016,smooth_obstacles,16,terrain_smooth_obstacles_016_sg03,3,6,68,47,22,short,15.9103,hard,False
terrain_smooth_obstacles_016,smooth_obstacles,16,terrain_smooth_obstacles_016_sg04,4,6,110,41,34,medium,22.703,hard,False
terrain_smooth_obstacles_016,smooth_obstacles,16,terrain_smooth_obstacles_016_sg05,5,6,109,42,23,medium,25.3584,hard,False
terrain_smooth_obstacles_016,smooth_obstacles,16,terrain_smooth_obstacles_016_sg06,6,80,13,104,87,medium,27.9673,hard,False
terrain_smooth_obstacles_016,smooth_obstacles,16,terrain_smooth_obstacles_016_sg07,7,99,116,109,6,medium,30.6505,hard,False
terrain_smooth_obstacles_016,smooth_obstacles,16,terrain_smooth_obstacles_016_sg08,8,39,26,107,80,long,37.3671,hard,False
terrain_smooth_obstacles_016,smooth_obstacles,16,terrain_smooth_obstacles_016_sg09,9,31,47,114,108,long,39.9387,hard,False
terrain_smooth_obstacles_016,smooth_obstacles,16,terrain_smooth_obstacles_016_sg10,10,19,15,107,83,long,42.249,hard,True
terrain_smooth_obstacles_017,smooth_obstacles,17,terrain_smooth_obstacles_017_sg01,1,111,104,120,61,short,11.7341,hard,False
terrain_smooth_obstacles_017,smooth_obstacles,17,terrain_smooth_obstacles_017_sg02,2,75,114,105,75,short,14.1802,hard,False
terrain_smooth_obstacles_017,smooth_obstacles,17,terrain_smooth_obstacles_017_sg03,3,101,50,110,111,short,16.6776,hard,False
terrain_smooth_obstacles_017,smooth_obstacles,17,terrain_smooth_obstacles_017_sg04,4,45,117,110,74,medium,22.9559,hard,False
terrain_smooth_obstacles_017,smooth_obstacles,17,terrain_smooth_obstacles_017_sg05,5,24,98,105,91,medium,25.2126,hard,False
terrain_smooth_obstacles_017,smooth_obstacles,17,terrain_smooth_obstacles_017_sg06,6,21,120,108,81,medium,27.3058,hard,False
terrain_smooth_obstacles_017,smooth_obstacles,17,terrain_smooth_obstacles_017_sg07,7,8,8,116,27,medium,29.3284,hard,False
terrain_smooth_obstacles_017,smooth_obstacles,17,terrain_smooth_obstacles_017_sg08,8,12,11,102,71,long,35.6255,hard,False
terrain_smooth_obstacles_017,smooth_obstacles,17,terrain_smooth_obstacles_017_sg09,9,19,78,120,63,long,38.3659,hard,False
terrain_smooth_obstacles_017,smooth_obstacles,17,terrain_smooth_obstacles_017_sg10,10,39,109,78,11,long,41.0652,hard,True
terrain_smooth_obstacles_018,smooth_obstacles,18,terrain_smooth_obstacles_018_sg01,1,27,14,67,10,short,10.7888,hard,False
terrain_smooth_obstacles_018,smooth_obstacles,18,terrain_smooth_obstacles_018_sg02,2,17,120,65,111,short,13.0188,hard,False
terrain_smooth_obstacles_018,smooth_obstacles,18,terrain_smooth_obstacles_018_sg03,3,8,100,67,102,short,15.3548,hard,False
terrain_smooth_obstacles_018,smooth_obstacles,18,terrain_smooth_obstacles_018_sg04,4,15,86,90,113,medium,21.6488,hard,False
terrain_smooth_obstacles_018,smooth_obstacles,18,terrain_smooth_obstacles_018_sg05,5,21,71,95,116,medium,23.9582,hard,False
terrain_smooth_obstacles_018,smooth_obstacles,18,terrain_smooth_obstacles_018_sg06,6,8,112,112,111,medium,26.2381,hard,False
terrain_smooth_obstacles_018,smooth_obstacles,18,terrain_smooth_obstacles_018_sg07,7,8,22,110,21,medium,28.5009,hard,False
terrain_smooth_obstacles_018,smooth_obstacles,18,terrain_smooth_obstacles_018_sg08,8,7,101,68,17,long,35.7839,hard,False
terrain_smooth_obstacles_018,smooth_obstacles,18,terrain_smooth_obstacles_018_sg09,9,17,73,110,21,long,38.8374,hard,False
terrain_smooth_obstacles_018,smooth_obstacles,18,terrain_smooth_obstacles_018_sg10,10,24,89,107,17,long,41.7242,hard,True
terrain_smooth_obstacles_019,smooth_obstacles,19,terrain_smooth_obstacles_019_sg01,1,8,68,37,102,short,12.0182,hard,False
terrain_smooth_obstacles_019,smooth_obstacles,19,terrain_smooth_obstacles_019_sg02,2,28,115,85,113,short,14.5496,hard,False
terrain_smooth_obstacles_019,smooth_obstacles,19,terrain_smooth_obstacles_019_sg03,3,54,116,116,101,short,17.0878,hard,False
terrain_smooth_obstacles_019,smooth_obstacles,19,terrain_smooth_obstacles_019_sg04,4,91,114,114,32,medium,22.9471,hard,False
terrain_smooth_obstacles_019,smooth_obstacles,19,terrain_smooth_obstacles_019_sg05,5,14,61,80,109,medium,25.0402,hard,False
terrain_smooth_obstacles_019,smooth_obstacles,19,terrain_smooth_obstacles_019_sg06,6,91,17,114,114,medium,27.1549,hard,False
terrain_smooth_obstacles_019,smooth_obstacles,19,terrain_smooth_obstacles_019_sg07,7,17,86,119,102,medium,29.2292,hard,False
terrain_smooth_obstacles_019,smooth_obstacles,19,terrain_smooth_obstacles_019_sg08,8,14,94,120,58,long,35.4611,hard,False
terrain_smooth_obstacles_019,smooth_obstacles,19,terrain_smooth_obstacles_019_sg09,9,7,34,120,58,long,38.0148,hard,False
terrain_smooth_obstacles_019,smooth_obstacles,19,terrain_smooth_obstacles_019_sg10,10,17,40,119,102,long,40.6301,hard,True
terrain_smooth_obstacles_020,smooth_obstacles,20,terrain_smooth_obstacles_020_sg01,1,66,7,99,24,short,10.0838,hard,False
terrain_smooth_obstacles_020,smooth_obstacles,20,terrain_smooth_obstacles_020_sg02,2,33,21,78,16,short,12.1651,hard,False
terrain_smooth_obstacles_020,smooth_obstacles,20,terrain_smooth_obstacles_020_sg03,3,51,7,97,33,short,14.2809,hard,False
terrain_smooth_obstacles_020,smooth_obstacles,20,terrain_smooth_obstacles_020_sg04,4,28,20,97,33,medium,19.8894,hard,False
terrain_smooth_obstacles_020,smooth_obstacles,20,terrain_smooth_obstacles_020_sg05,5,33,17,117,8,medium,22.0603,hard,False
terrain_smooth_obstacles_020,smooth_obstacles,20,terrain_smooth_obstacles_020_sg06,6,10,108,33,21,medium,24.1888,hard,False
terrain_smooth_obstacles_020,smooth_obstacles,20,terrain_smooth_obstacles_020_sg07,7,10,70,83,19,medium,26.4408,hard,False
terrain_smooth_obstacles_020,smooth_obstacles,20,terrain_smooth_obstacles_020_sg08,8,10,70,115,19,long,34.5882,hard,False
terrain_smooth_obstacles_020,smooth_obstacles,20,terrain_smooth_obstacles_020_sg09,9,18,98,107,20,long,38.8082,hard,False
terrain_smooth_obstacles_020,smooth_obstacles,20,terrain_smooth_obstacles_020_sg10,10,11,112,111,15,long,43.5433,hard,True
terrain_smooth_obstacles_021,smooth_obstacles,21,terrain_smooth_obstacles_021_sg01,1,24,9,66,15,short,11.2232,hard,False
terrain_smooth_obstacles_021,smooth_obstacles,21,terrain_smooth_obstacles_021_sg02,2,119,118,120,64,short,13.645,hard,False
terrain_smooth_obstacles_021,smooth_obstacles,21,terrain_smooth_obstacles_021_sg03,3,92,90,110,34,short,16.0853,hard,False
terrain_smooth_obstacles_021,smooth_obstacles,21,terrain_smooth_obstacles_021_sg04,4,77,15,110,73,medium,21.8859,hard,False
terrain_smooth_obstacles_021,smooth_obstacles,21,terrain_smooth_obstacles_021_sg05,5,6,83,40,6,medium,24.0133,hard,False
